trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.45, 'e': 0.10860910882495796}",20,6,24.12085187178005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.45, 'e': 0.1064585043792528}",25,10,25.877902628300895,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.45, 'e': 0.104350484754765}",25,16,4.3099601728316825,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.45, 'e': 0.10228420671553744}",20,1,30.57683862706782,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.45, 'e': 0.1002588437228037}",20,10,19.557379636324768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.45, 'e': 0.09827358560436154}",20,6,25.772295614124324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.45, 'e': 0.09632763823049303}",25,0,38.58318927024983,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.45, 'e': 0.09442022319630235}",25,18,9.678978031201417,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.45, 'e': 0.09255057751034329}",20,9,10.122384797399384,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.45, 'e': 0.09071795328941251}",20,11,18.153441981464308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.45, 'e': 0.08892161745938634}",20,0,17.290828590163844,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.45, 'e': 0.0871608514619813}",30,21,14.663667843212806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.45, 'e': 0.08543495096732123}",20,13,10.81818573114576,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.45, 'e': 0.08374322559219596}",20,15,10.810681243380447,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.45, 'e': 0.0820849986238988}",20,5,21.554483167025577,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.45, 'e': 0.08045960674953244}",35,26,-7.546973934088378,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.45, 'e': 0.07886639979067495}",20,0,34.1311909421987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.45, 'e': 0.07730474044329974}",25,8,25.918186474753995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.45, 'e': 0.07577400402284548}",25,2,36.35195297401118,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.45, 'e': 0.07427357821433388}",25,14,22.06572812295394,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.45, 'e': 0.07280286282743559}",35,18,29.850609029453327,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.45, 'e': 0.07136126955638605}",20,7,7.549379233901578,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.45, 'e': 0.06994822174465536}",25,2,36.505111715803025,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.45, 'e': 0.06856315415427791}",30,18,1.2529108502876811,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.45, 'e': 0.06720551273974976}",25,15,20.675615770574456,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.45, 'e': 0.06587475442640295}",20,6,28.4953638123314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.45, 'e': 0.06457034689316847}",25,3,24.24951309509573,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.45, 'e': 0.0632917683596407}",20,13,12.505768462215231,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.45, 'e': 0.06203850737735829}",30,18,20.72876688606963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.45, 'e': 0.06081006262521795}",30,21,19.101708326269375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.45, 'e': 0.05960594270893937}",20,9,8.174055361759685,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.45, 'e': 0.05842566596450083}",25,15,16.879303784746458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.45, 'e': 0.05726876026546736}",30,16,26.052715008457138,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.45, 'e': 0.056134762834133725}",30,8,42.52960463393973,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.45, 'e': 0.05502322005640723}",30,20,18.877306206006015,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.45, 'e': 0.05393368730035602}",25,14,20.037549808924897,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.45, 'e': 0.05286572873835037}",20,9,19.049674454088546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.45, 'e': 0.05181891717272583}",20,14,12.241568726756375,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.45, 'e': 0.0507928338648985}",20,15,2.2264527613482077,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.45, 'e': 0.049787068367863944}",20,11,17.21743609012012,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.45, 'e': 0.04880121836201296}",35,23,17.574219104912224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.45, 'e': 0.04783488949419837}",25,15,8.032420587868875,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.45, 'e': 0.046887695219988486}",30,20,20.533519264667262,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.45, 'e': 0.045959256649044204}",20,2,28.62571593646105,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.45, 'e': 0.0450492023935578}",25,3,37.476838416078884,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.45, 'e': 0.04415716841969286}",20,13,2.5538032303384175,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.45, 'e': 0.043282797901965896}",35,16,31.5136701713643,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.45, 'e': 0.042425741080511385}",20,8,-20.703510580695138,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.45, 'e': 0.04158565512117316}",20,13,11.86245238623434,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.45, 'e': 0.04076220397836621}",30,20,16.847500748785546,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.45, 'e': 0.039955058260653896}",30,12,30.7396761366692,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.45, 'e': 0.039163895098987066}",20,10,-22.9047119054353,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.45, 'e': 0.038388398017552054}",20,6,17.51675256278006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.45, 'e': 0.0376282568071762}",20,6,14.100771415909733,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.45, 'e': 0.036883167401239994}",25,17,1.6916912198476135,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.45, 'e': 0.03615283175404641}",20,8,22.11144955599115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.45, 'e': 0.03543695772159864}",20,13,12.70286943288698,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.45, 'e': 0.03473525894473856}",30,5,37.92242984484842,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.45, 'e': 0.034047454734599344}",25,8,16.232759963791544,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.45, 'e': 0.03337326996032608}",30,18,12.42758703535507,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.45, 'e': 0.03271243493901982}",25,3,39.06798521562792,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.45, 'e': 0.03206468532786077}",20,7,21.771918005514596,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.45, 'e': 0.03142976201836771}",20,12,12.793610349593349,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.45, 'e': 0.030807411032751076}",20,15,9.239765301365269,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.45, 'e': 0.0301973834223185}",30,11,35.71845650841997,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.45, 'e': 0.029599435167892}",25,16,-35.050311457576804,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.45, 'e': 0.029013327082197053}",20,5,27.6838624986868,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.45, 'e': 0.028438824714184505}",20,16,9.89137373234867,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.45, 'e': 0.027875698255247015}",20,14,13.858120411674664,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.45, 'e': 0.02732372244729256}",30,24,13.412229151570287,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.45, 'e': 0.026782676492638175}",30,8,28.96106799579153,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.45, 'e': 0.02625234396568796}",20,2,29.78979962494778,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.45, 'e': 0.02573251272635994}",25,6,28.524419235055305,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.45, 'e': 0.025222974835227212}",25,19,12.377858058215018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.45, 'e': 0.024723526470339388}",20,11,16.52778970108573,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.45, 'e': 0.024233967845691113}",25,11,19.459342170665664,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.45, 'e': 0.023754103131304997}",20,10,13.37987528451947,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.45, 'e': 0.023283740374897}",20,11,15.891839218956425,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.45, 'e': 0.02282269142509297}",25,0,33.98717872618369,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
